title,work experience,salary,region
Junior Full Stack Web-разработчик (Python),2.0,,Нижний Новгород
Python developer,5.0,,Санкт-Петербург
Аналитик (Консультант-разработчик) (Junior),0.0,85000.0,Москва
"Начинающий программист-математик (python, машинное обучение, компьютерное зрение)",2.0,,Москва
Data Analyst (middle/senior),5.0,4250.0,Москва
Phyton-разработчик / Backend-разработчик,5.0,,Москва
Аналитик данных/Разработчик python,2.0,,Москва
Разработчик Python,2.0,,Москва
Программист Python,2.0,,Москва
Python (Django) разработчик,2.0,,Москва
Junoir backend developer (Python),0.0,,Санкт-Петербург
ML-разработчик,2.0,,Москва
Программист разработчик SQL (SQL Developer),5.0,165000.0,Самара
DevOps/Site Reliability Engineer (SRE),5.0,,Москва
Erlang разработчик,5.0,,Санкт-Петербург
Ведущий Backend разработчик,2.0,,Новосибирск
Инженер-программист,2.0,,Москва
Программист С/С++ (Embedded Linux),5.0,,Москва
Ведущий Backend разработчик,2.0,,Омск
Ведущий Backend разработчик,2.0,,Краснодар
Программист,5.0,,Санкт-Петербург
C++/Qt developer,2.0,,Москва
DevOps архитектор,5.0,,Москва
Старший аналитик данных / Senior Data Analyst,5.0,130000.0,Москва
Разработчик C++,5.0,,Москва
Разработчик C++,2.0,,Челябинск
Программист/Разработчик информационных систем на Oracle/django (Москва),5.0,,Москва
Разработчик full-stack,5.0,210000.0,Сочи
Big data developer (с функционалом DevOps),5.0,,Калининград
Developer С/С+ (Senior/Teamlead),7.0,,Санкт-Петербург
Разработчик C (удаленная работа),5.0,,Москва
ML-разработчик в команду разработки UGC,5.0,,Санкт-Петербург
Data инженер,5.0,,Москва
Руководитель IT-отдела / Team Lead,2.0,140000.0,Москва
Системный администратор Linux / DevOps инженер,5.0,160000.0,Москва
Бэкенд-разработчик (Ruby on Rails),2.0,,Москва
Java Developer (Server side),5.0,260000.0,Москва
Разработчик ETL,5.0,,Саратов
DevOps инженер,5.0,,Москва
Инженер-программист С++,2.0,,Нижний Новгород
DevOps engineer,5.0,,Москва
Аналитик-разработчик,2.0,,Москва
Senior Python Developer (Content team),5.0,,Москва
Linux-Developer,2.0,,Москва
Аналитик BI,5.0,,Москва
Программист PHP / Разработчик,5.0,,Черноголовка
Data engineer на продукт Антиспам (Big Data),2.0,,Москва
Senior Data Scientist,5.0,,Москва
UE4 Developer,2.0,,Москва
PHP developer (remote),5.0,265000.0,Москва
Разработчик C++/Математик,5.0,,Москва
С++ разработчик в Справочник,2.0,,Москва
DevOps / SRE,7.0,8750.0,Москва
Разработчик,2.0,,Санкт-Петербург
Data Scientist NLP,2.0,,Москва
Разработчик С++,2.0,,Москва
Application Security инженер (практика SAST),2.0,,Москва
Программист Java (embedded-системы),5.0,,Санкт-Петербург
DevOps Engineer (CI/CD),5.0,,Москва
Senior Backend Engineer,5.0,,Москва
Product analyst,2.0,,Москва
Программист/Наставник-тьютор в IT школу для детей,2.0,160000.0,Коммунарка
Системный инженер / программист,0.0,110000.0,Москва
DevOps Engineer,5.0,,Санкт-Петербург
"Junior Product manager/ Менеджер интеграции (SaaS, eCommerce)",2.0,,Москва
Data scientist,2.0,,Москва
Специалист по разработке на Golang (middle),2.0,,Москва
Middle С++ Developer (Разработчик С++),5.0,,Москва
"Веб VoIP инженер (SIP, Asterisk, Kamailio)",5.0,,Москва
DilOS (illumos based) developer,5.0,,Москва
Инженер по автоматизированному тестированию (Python),5.0,,Нижний Новгород
Разработчик встраиваемого/бортового ПО (C++),5.0,290000.0,Москва
"Разработчик баз данных (PostgreSQL, Python, PL/pgSQL, Bash)",5.0,,Москва
Ведущий программист,5.0,190000.0,Санкт-Петербург
DevOps инженер,5.0,,Москва
Frontend-разработчик (Mithril),5.0,,Санкт-Петербург
Golang Developer,2.0,,Москва
Веб-разработчик (JavaScript),0.0,,Новомосковск (Тульская область)
Hadoop разработчик,2.0,,Москва
Специалист по обработке данных / программист онлайн-анкет,2.0,,Москва
Data Scientist,2.0,,Москва
DevOps-инженер,5.0,,Москва
BackEnd Developer (Java),5.0,,Санкт-Петербург
Педагог (кружок программирования),2.0,180000.0,Жуковский
Инженер-программист,2.0,,Москва
Senior Backend разработчик / Senior Backend Developer,5.0,,Москва
"Online Tutor (Python, Scratch) with English/Bahasa",0.0,,Москва
Программист C,2.0,135000.0,Санкт-Петербург
Разработчик по нагрузочному тестированию (НТ),2.0,,Москва
Инженер-программист,2.0,,Санкт-Петербург
DevOps,2.0,,Москва
Разработчик Greenplum/Arenadata DB,2.0,,Нижний Новгород
DSP-инженер / алгоритмист,2.0,,Москва
Senior PHP Developer,5.0,,Москва
DevOps Engineer,5.0,,Санкт-Петербург
Программист С++,2.0,,Москва
Animation Programmer / Программист анимации,2.0,,Москва
Инженер по автоматизированному тестированию (Python),2.0,,Нижний Новгород
Разработчик баз данных в международную компанию,5.0,,Новосибирск
Преподаватель IT дисциплин (удалённо),0.0,,Москва
Разработчик ETL-процессов / Data Engineer (Hadoop),2.0,,Москва
BI Developer,5.0,,Москва
Senior Java Developer,5.0,6350.0,Санкт-Петербург
Robotics Software Engineer,5.0,,Москва
Системный архитектор,5.0,,Москва
Инженер-разработчик С++ (машинное зрение),2.0,,Москва
Data Engineer,2.0,,Москва
Разработчик на С++,5.0,,Новосибирск
DevOps инженер,5.0,,Москва
"PHP, Golang-разработчик",5.0,,Москва
"Senior Tools Programmer (UE4, С++)",5.0,,Санкт-Петербург
"Software Engineer (C, DDoS)",5.0,,Москва
Инженер-программист 1 категории,2.0,,Великий Новгород
Senior Developer (Team Lead),5.0,,Москва
Дежурный системный администратор (Linux\DevOps),2.0,293000.0,Москва
Middle DevOps engineer,2.0,,Москва
Frontend разработчик (JavaScript; Vue),2.0,,Москва
Программист JavaScript,2.0,85000.0,Ростов-на-Дону
Разработчик (GoLang),2.0,,Санкт-Петербург
DevOps / Build / Release Engineer,5.0,,Санкт-Петербург
"Тестировщик GTest, PyTest в отдел автоматического управления беспилотником",2.0,,Москва
DevOps Engineer (CI/CD),2.0,,Нижний Новгород
DevOps,2.0,,Санкт-Петербург
Специалист по инфраструктуре / Системный администратор / DevOps-инженер,5.0,250000.0,Москва
"Разработчик golang, Ozon Fresh",2.0,,Москва
Senior QA Automation Python (EP Console MTS),5.0,,Москва
Build Engineer/DevOps,5.0,,Москва
Ведущий инженер-программист в центр робототехники Сбера,5.0,420000.0,Москва
"Senior Tools Programmer (UE4, С++)",5.0,,Санкт-Петербург
Программист-разработчик,2.0,,Нижний Новгород
Программист (Фулл стэк разработчик),2.0,100000.0,Владивосток
Инженер по автоматизированному тестированию (Python),2.0,,Нижний Новгород
Разработчик ETL-процессов / Data Engineer (Hadoop),2.0,,Москва
Инженер-разработчик С++ (машинное зрение),2.0,,Москва
Javascript Developer,5.0,,Санкт-Петербург
"PHP, Golang-разработчик",5.0,,Москва
DevOps specialist,2.0,,Москва
Software Developer C++ (Middle /Middle +/Senior),5.0,275000.0,Москва
Администратор тестовых стендов (DevOps),2.0,,Москва
Разработчик баз данных в международную компанию,5.0,,Новосибирск
ML инженер,2.0,,Зеленоград
Программист С++,2.0,,Санкт-Петербург
Data Engineer/ Разработчик DWH/ ETL - разработчик,2.0,,Москва
Voip инженер (Asterisk),5.0,250000.0,Москва
"Flutter разработчик, Full stack",2.0,275000.0,Москва
Инженер ПЛИС (Verilog/System Verilog),2.0,,Санкт-Петербург
"Flutter разработчик, Full stack",2.0,275000.0,Сочи
Аналитик в команду внедрения ботов,2.0,,Москва
Senior QA engineer / тестировщик ПО,5.0,,Москва
Senior Data Scientist,5.0,,Москва
Robotics Software Engineer,5.0,,Москва
Системный администратор Linux/SRE(DevOPS),5.0,,Санкт-Петербург
Старший системный аналитик,5.0,,Москва
Инженер-программист С++ (проект REGUL),5.0,,Екатеринбург
Frontend Developer,2.0,,Санкт-Петербург
DevOps Engineer,5.0,,Москва
